"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Hpgds" 7.76661767137413e-144 2.48762176884762 0.537 0.118 1.69281198765271e-139 "IM" "Hpgds"
"Zswim6" 9.8896508610829e-143 1.18157821366205 0.92 0.684 2.15554830168163e-138 "IM" "Zswim6"
"Gna12" 2.1765659254464e-141 1.98189178072795 0.703 0.315 4.74404309110297e-137 "IM" "Gna12"
"Olr1" 4.65170200363502e-141 -3.94795864445915 0.039 0.363 1.01388496871229e-136 "IM" "Olr1"
"Cpne8" 1.91107192606513e-140 -3.43218932494094 0.066 0.407 4.16537237005156e-136 "IM" "Cpne8"
"Pmepa1" 3.27313871281195e-140 2.21930093005737 0.658 0.259 7.13413313844492e-136 "IM" "Pmepa1"
"Clmn" 1.78290441284839e-136 -4.30880817976381 0.035 0.344 3.88601845824434e-132 "IM" "Clmn"
"Adipor2" 1.98722673860298e-136 -2.99137916762985 0.299 0.608 4.33135939945905e-132 "IM" "Adipor2"
"Large1" 1.08742838099194e-135 -2.3854201092353 0.341 0.656 2.37015889921003e-131 "IM" "Large1"
"Peak1" 9.97813568998215e-135 1.64019425055022 0.716 0.295 2.17483445498851e-130 "IM" "Peak1"
"Cd44" 8.54512701154678e-134 -1.55146995381301 0.672 0.829 1.86249588343674e-129 "IM" "Cd44"
"Mob3b" 2.38360324946537e-132 -1.5247369587862 0.537 0.79 5.19530164253472e-128 "IM" "Mob3b"
"Gsap" 2.66546704643028e-132 -1.48068583662148 0.722 0.845 5.80965197439944e-128 "IM" "Gsap"
"Lysmd4" 4.95532845403563e-131 1.52320656590229 0.758 0.387 1.08006338984161e-126 "IM" "Lysmd4"
"Cyb561a3" 6.97312756790263e-131 -3.46669497388493 0.073 0.396 1.51986288470006e-126 "IM" "Cyb561a3"
"Ccr5" 3.6412730144982e-130 2.08020126896175 0.577 0.163 7.93651866240027e-126 "IM" "Ccr5"
"Pparg" 4.57654923555704e-130 -2.93607623488541 0.24 0.563 9.97504671382013e-126 "IM" "Pparg"
"Lpcat2" 2.95144639668979e-129 1.62900870084504 0.682 0.274 6.43297256622506e-125 "IM" "Lpcat2"
"Flt1" 4.15238583570393e-128 -3.06790944419864 0.08 0.408 9.05054016750029e-124 "IM" "Flt1"
"Sort1" 2.20881893777815e-127 -2.64317421252141 0.172 0.507 4.81434175678125e-123 "IM" "Sort1"
"Ddhd1" 1.56198347370208e-126 -1.54876395304663 0.459 0.752 3.40449917928104e-122 "IM" "Ddhd1"
"Aoah" 3.34572082750874e-126 2.07358816144694 0.581 0.176 7.29233311563805e-122 "IM" "Aoah"
"Zfhx3" 3.18991807038001e-125 1.30491359761369 0.853 0.517 6.95274542620027e-121 "IM" "Zfhx3"
