"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Mthfs" 1.32138757462532e-32 -1.2838672713967 0.442 0.636 2.88009635765335e-28 "0" "Mthfs"
"Ntpcr" 1.67812572529219e-32 1.50641788236213 0.392 0.21 3.65764283084686e-28 "0" "Ntpcr"
"Adgre1" 3.12406031576101e-32 0.864769559107724 0.717 0.557 6.8092018642327e-28 "0" "Adgre1"
"Ric1" 3.77253201094405e-32 -1.13406526360352 0.19 0.404 8.22261077105366e-28 "0" "Ric1"
"Asap1" 3.85609886565281e-32 -0.65280700259309 0.757 0.87 8.40475308757686e-28 "0" "Asap1"
"Lair1" 6.34351571960007e-32 0.962382366767409 0.66 0.527 1.38263268624403e-27 "0" "Lair1"
"Iqgap2" 1.0627083429332e-31 -0.874681386474914 0.428 0.645 2.31627910425721e-27 "0" "Iqgap2"
"Zbtb46" 3.2909320022229e-31 -3.24571696103237 0.034 0.17 7.17291539204503e-27 "0" "Zbtb46"
"Cd200r4" 3.40699469161681e-31 -1.89517565326885 0.047 0.198 7.42588562984801e-27 "0" "Cd200r4"
"Nav1" 4.79175922396694e-31 -0.907946794601961 0.503 0.696 1.04441184045583e-26 "0" "Nav1"
"Plin2" 3.63650768421005e-30 -1.15140501145807 0.374 0.561 7.92613214850422e-26 "0" "Plin2"
"P2ry6" 1.2601950657209e-29 0.882476819027785 0.627 0.491 2.74672116524527e-25 "0" "P2ry6"
"Sort1" 2.54233029812402e-29 -1.54396415016253 0.082 0.248 5.54126311779111e-25 "0" "Sort1"
"Plcb1" 3.82580082214658e-29 -1.77270018852733 0.131 0.309 8.3387154719507e-25 "0" "Plcb1"
"Plekhm1" 4.14388848233829e-29 -1.22094211507371 0.145 0.338 9.03201933610453e-25 "0" "Plekhm1"
"Fam20c" 5.46845967300461e-29 -1.24190973342748 0.157 0.347 1.19190547032809e-24 "0" "Fam20c"
"Npc1" 9.46960029701731e-29 -0.955606229010854 0.244 0.457 2.06399408073789e-24 "0" "Npc1"
"Clec4d" 1.83744076501008e-28 -1.72635028552456 0.057 0.204 4.00488589141597e-24 "0" "Clec4d"
"Adam23" 2.53035226658609e-28 -4.55624537687626 0.024 0.141 5.51515580025105e-24 "0" "Adam23"
"Soat1" 3.82950844628981e-28 -0.817729606769945 0.394 0.592 8.34679660953328e-24 "0" "Soat1"
"Cd74" 6.70264288797939e-28 0.414564951736765 0.679 0.525 1.46090804386399e-23 "0" "Cd74"
"Sgk1" 8.5455621592416e-28 -1.52688832407993 0.139 0.317 1.8625907282283e-23 "0" "Sgk1"
"Phlpp1" 1.18656975859533e-27 -1.21786926349767 0.287 0.493 2.58624744583439e-23 "0" "Phlpp1"
"A930007I19Rik" 1.22019519374875e-27 -1.97148472040114 0.049 0.188 2.65953744429478e-23 "0" "A930007I19Rik"
"Fgd6" 1.62038523127817e-27 -1.45493783904656 0.096 0.26 3.5317916500939e-23 "0" "Fgd6"
"Snx27" 1.94600942069646e-27 -1.0238736190305 0.263 0.466 4.24152213335e-23 "0" "Snx27"
"Fam129b" 2.31008607604435e-27 -0.979280513334185 0.245 0.451 5.03506361134627e-23 "0" "Fam129b"
"Lilr4b" 2.46702053245041e-27 -1.01718453635741 0.294 0.487 5.37711795252892e-23 "0" "Lilr4b"
"Mreg" 4.11784405911454e-27 -7.94315964113173 0.002 0.092 8.97525291124606e-23 "0" "Mreg"
"Arhgap10" 4.40517086878122e-27 -0.852071647330549 0.361 0.562 9.60151042559555e-23 "0" "Arhgap10"
"Alcam" 4.49244232796322e-27 -0.766163188407024 0.683 0.837 9.79172729802864e-23 "0" "Alcam"
"Lyn" 4.51791293535183e-27 0.419128392612632 0.933 0.911 9.84724303389286e-23 "0" "Lyn"
"Hpse" 5.75287027334793e-27 -1.85243451932192 0.049 0.187 1.25389560477892e-22 "0" "Hpse"
"Btla" 7.87828150460176e-27 -3.15094821402249 0.025 0.139 1.717150236743e-22 "0" "Btla"
"Cpeb4" 9.54791904892303e-27 -1.05029998062438 0.311 0.507 2.08106443590326e-22 "0" "Cpeb4"
"Nrp2" 1.21206015195967e-26 -0.955797800785341 0.293 0.49 2.64180630721129e-22 "0" "Nrp2"
"Chd9" 2.18981029728647e-26 0.540264488849242 0.846 0.8 4.7729105239656e-22 "0" "Chd9"
"Adap2" 2.60265492806037e-26 0.682239193030155 0.716 0.584 5.67274668120038e-22 "0" "Adap2"
"Malat1" 2.8683687488767e-26 -0.330354603848747 1 1 6.25189652505166e-22 "0" "Malat1"
"Dtnbp1" 3.12021475258058e-26 -0.79111987055083 0.324 0.535 6.80082007472464e-22 "0" "Dtnbp1"
"Zfp366" 3.29596033795106e-26 -3.84818827920096 0.024 0.135 7.18387515259813e-22 "0" "Zfp366"
"Ahnak" 5.14205043434815e-26 -0.857905168244802 0.441 0.628 1.12076131267052e-21 "0" "Ahnak"
"Arhgap15" 6.1358511360136e-26 0.433335810111837 0.924 0.867 1.33737011360553e-21 "0" "Arhgap15"
"Gm37168" 6.34038735887273e-26 -2.28378816993421 0.029 0.148 1.3819508287399e-21 "0" "Gm37168"
"Mrc1" 6.74436532006105e-26 1.26313032997576 0.526 0.374 1.47000186516051e-21 "0" "Mrc1"
"Ctsd" 8.05758385585146e-26 -1.31080581332553 0.366 0.539 1.75623097722138e-21 "0" "Ctsd"
"Dock4" 9.13010564315983e-26 0.458854490279913 0.895 0.832 1.98999782598312e-21 "0" "Dock4"
"Mcoln2" 9.66972640646711e-26 -2.97276997452113 0.012 0.112 2.10761356755357e-21 "0" "Mcoln2"
"Itgb5" 9.98808421957217e-26 0.743175934074574 0.761 0.63 2.17700283649795e-21 "0" "Itgb5"
"Sgms2" 1.04930259755151e-25 -1.95046151558647 0.042 0.17 2.28705994162327e-21 "0" "Sgms2"
"Tgfbi" 1.06965857473259e-25 0.760453665998955 0.705 0.587 2.33142782948716e-21 "0" "Tgfbi"
"Lrrk2" 1.15306932028437e-25 -1.34398059570005 0.141 0.312 2.51322989049182e-21 "0" "Lrrk2"
"Abcg1" 1.31441489314007e-25 -1.00686442998971 0.239 0.433 2.86489870108809e-21 "0" "Abcg1"
"Pid1" 1.36564309135918e-25 0.553044355833275 0.913 0.878 2.97655568192648e-21 "0" "Pid1"
"Mgat4a" 1.4325165917287e-25 0.819861722572797 0.615 0.487 3.12231316333188e-21 "0" "Mgat4a"
"Neil3" 1.45881045346403e-25 -3.31981647640815 0.018 0.123 3.1796232643702e-21 "0" "Neil3"
"Lgals1" 2.42086457628567e-25 0.833186510201078 0.623 0.495 5.27651643047224e-21 "0" "Lgals1"
"Anxa4" 2.50816422256673e-25 -1.01935665999293 0.236 0.426 5.46679473950644e-21 "0" "Anxa4"
"Mctp1" 2.71450988945455e-25 -0.685476218512983 0.684 0.807 5.91654575505513e-21 "0" "Mctp1"
"Arhgap22" 2.97944287827726e-25 0.725022666187015 0.759 0.681 6.49399369749312e-21 "0" "Arhgap22"
"P2ry12" 3.68823568983267e-25 1.2409902868659 0.401 0.241 8.03887850955929e-21 "0" "P2ry12"
"Nceh1" 3.70965884102664e-25 -0.954359442550191 0.294 0.486 8.08557240990165e-21 "0" "Nceh1"
"Gm2245" 8.48469692737677e-25 0.769829157305891 0.703 0.565 1.84932454229104e-20 "0" "Gm2245"
"Bhlhe40" 1.49178385561961e-24 -1.81681118785683 0.056 0.189 3.2514920917085e-20 "0" "Bhlhe40"
"Flt3" 1.84496668268771e-24 -4.50275399913434 0.01 0.103 4.02128938158614e-20 "0" "Flt3"
"F10" 1.97094110625974e-24 -2.23684936174139 0.021 0.127 4.29586323520373e-20 "0" "F10"
"Stx3" 3.43396215037833e-24 -1.16945360423887 0.101 0.257 7.48466390296461e-20 "0" "Stx3"
"Slc22a4" 5.69171418838951e-24 -2.74641305193214 0.017 0.116 1.24056602450138e-19 "0" "Slc22a4"
"Gm36723" 5.86547297795708e-24 -4.63873822265501 0.011 0.103 1.27843849027552e-19 "0" "Gm36723"
"Sgms1" 6.42737850420683e-24 -0.739182583830271 0.417 0.614 1.40091141877692e-19 "0" "Sgms1"
"Serinc3" 6.57510003830879e-24 0.809277110509343 0.594 0.461 1.43310880434978e-19 "0" "Serinc3"
"Itpr1" 8.90924506013476e-24 -1.0814020254722 0.34 0.523 1.94185905330697e-19 "0" "Itpr1"
"Abca9" 1.02537216825649e-23 1.24484221125596 0.405 0.257 2.23490117793185e-19 "0" "Abca9"
"Ms4a6b" 1.22087084543218e-23 1.18490014646831 0.424 0.275 2.66101009470398e-19 "0" "Ms4a6b"
"Plekhm2" 1.23225049439432e-23 -0.708410916581822 0.457 0.637 2.68581317758187e-19 "0" "Plekhm2"
"Rasgrp1" 1.25338054219731e-23 1.54500041949747 0.274 0.129 2.73186822977325e-19 "0" "Rasgrp1"
"Lacc1" 1.36244523046864e-23 1.1045289284824 0.42 0.267 2.96958562432944e-19 "0" "Lacc1"
"Smad3" 2.23595957963784e-23 1.1807022162913 0.367 0.212 4.87349749977863e-19 "0" "Smad3"
"E230029C05Rik" 2.61512562499213e-23 0.958421456188552 0.55 0.417 5.69992781223286e-19 "0" "E230029C05Rik"
"Ncapd2" 2.72064790271253e-23 -2.41576536851591 0.025 0.13 5.92992416875224e-19 "0" "Ncapd2"
"F7" 3.58939258487781e-23 -2.43296709581795 0.02 0.12 7.82344007799967e-19 "0" "F7"
"Nav2" 5.39836733441642e-23 -0.820233081567404 0.388 0.575 1.1766281442094e-18 "0" "Nav2"
"Iqgap1" 5.70219732510862e-23 -0.467574510998983 0.746 0.868 1.24285092898067e-18 "0" "Iqgap1"
"Samd8" 7.49688403176463e-23 -0.994608164811386 0.165 0.338 1.63402084356342e-18 "0" "Samd8"
"Col1a2" 8.10085890628612e-23 1.18730249494665 0.462 0.328 1.76566320721412e-18 "0" "Col1a2"
"Adam8" 8.18803226716069e-23 -1.60976686202672 0.072 0.207 1.78466351295034e-18 "0" "Adam8"
"Mtm1" 1.76535352066344e-22 -0.847129307604024 0.245 0.434 3.84776453363803e-18 "0" "Mtm1"
"Mrtfb" 1.79116701951313e-22 -0.72726821151274 0.3 0.506 3.90402763573081e-18 "0" "Mrtfb"
"Lockd" 1.82739582483022e-22 -2.86320607488102 0.028 0.13 3.98299193979995e-18 "0" "Lockd"
"Oxct1" 1.8778053482699e-22 -0.829991509336962 0.235 0.421 4.09286453708907e-18 "0" "Oxct1"
"Anpep" 3.88015807380505e-22 -1.95341951123257 0.035 0.143 8.45719253766549e-18 "0" "Anpep"
"Fam241a" 5.02820623920725e-22 -1.0952576715392 0.112 0.265 1.09594783189761e-17 "0" "Fam241a"
"Dpp4" 5.32060670154753e-22 -2.49741405783347 0.055 0.172 1.1596794366693e-17 "0" "Dpp4"
"Gm47507" 7.57175738570181e-22 -2.9454059559565 0.019 0.113 1.65034023978757e-17 "0" "Gm47507"
"Aoah" 1.21044290426684e-21 0.855112089025019 0.566 0.425 2.63828135414001e-17 "0" "Aoah"
"Aff1" 1.30734915251885e-21 -0.700743331168753 0.521 0.697 2.84949821283009e-17 "0" "Aff1"
"Tnfrsf1b" 1.32478769335013e-21 -0.780423291382594 0.307 0.495 2.88750725642595e-17 "0" "Tnfrsf1b"
"Tgfbr2" 1.34366978579756e-21 0.793215615399776 0.646 0.564 2.92866266512435e-17 "0" "Tgfbr2"
"Mbnl1" 1.44102248277627e-21 0.382683741913202 0.943 0.925 3.14085260345916e-17 "0" "Mbnl1"
"Pam" 1.63887157222299e-21 -0.791855991500683 0.229 0.412 3.57208447881723e-17 "0" "Pam"
"Plekhg1" 1.73508320570967e-21 -1.30886123106722 0.196 0.36 3.78178735516479e-17 "0" "Plekhg1"
"Cdk14" 1.82360383851484e-21 -0.616180569120134 0.626 0.786 3.97472692642694e-17 "0" "Cdk14"
"Tbc1d2" 2.39518348522924e-21 -2.4233870634503 0.021 0.115 5.22054192440564e-17 "0" "Tbc1d2"
"Pilra" 2.5632539104374e-21 1.25780286823484 0.325 0.18 5.58686822318936e-17 "0" "Pilra"
"Kif13b" 2.73958913643393e-21 -0.716207891481207 0.496 0.656 5.97120848177139e-17 "0" "Kif13b"
"Parp8" 3.10270201539218e-21 0.521201877208971 0.759 0.668 6.7626493127488e-17 "0" "Parp8"
"C77080" 3.17138605132226e-21 -2.6983109076692 0.019 0.111 6.91235303746199e-17 "0" "C77080"
"Galnt6" 3.19876968616911e-21 -1.47167349976363 0.045 0.16 6.9720384079742e-17 "0" "Galnt6"
"Elmo1" 3.52537646816442e-21 0.355094848848661 0.939 0.963 7.68391055001118e-17 "0" "Elmo1"
"Hivep2" 4.13805521981038e-21 0.294569851620678 0.66 0.512 9.01930515709871e-17 "0" "Hivep2"
"Cd9" 4.14554108942037e-21 -1.01061902333721 0.307 0.479 9.03562135850063e-17 "0" "Cd9"
"Knl1" 4.26476382425453e-21 -2.44945442357532 0.048 0.158 9.29547923134517e-17 "0" "Knl1"
"Wdr91" 4.53002103787181e-21 -1.22848164798745 0.09 0.229 9.8736338541454e-17 "0" "Wdr91"
"Itga8" 5.73654952372864e-21 1.7498072759438 0.147 0.043 1.25033833419189e-16 "0" "Itga8"
"Inpp5d" 6.19308322676363e-21 0.394694678854135 0.911 0.89 1.3498444201054e-16 "0" "Inpp5d"
"Tiam1" 7.21415037385762e-21 -1.12665236878785 0.124 0.273 1.57239621548601e-16 "0" "Tiam1"
"Gpcpd1" 1.26228897923645e-20 -0.747395202697969 0.364 0.548 2.75128505914376e-16 "0" "Gpcpd1"
"Ap1s3" 1.34694717766012e-20 -2.45681216555859 0.044 0.15 2.93580606842799e-16 "0" "Ap1s3"
"Polq" 1.42641759946632e-20 -2.35931854220995 0.017 0.104 3.10901979979679e-16 "0" "Polq"
"Atp6v1a" 1.53695417210746e-20 -0.850662125236745 0.284 0.463 3.34994531352541e-16 "0" "Atp6v1a"
"Rasal2" 1.68872866368008e-20 -0.827504675192176 0.241 0.418 3.68075299535711e-16 "0" "Rasal2"
"St18" 1.81076611644874e-20 -1.11431477419867 0.203 0.365 3.94674582741168e-16 "0" "St18"
"Slc27a1" 2.74509603959491e-20 -1.41648924683844 0.083 0.212 5.98321132790107e-16 "0" "Slc27a1"
"Lifr" 3.04822778927497e-20 1.25858635165332 0.296 0.16 6.64391728950372e-16 "0" "Lifr"
"Rell1" 3.37539701710634e-20 -0.947310592378306 0.14 0.294 7.35701533848499e-16 "0" "Rell1"
